CO,MQ135,Temperature,Humidity,CO2,TVOC,DustDensity
180,37.0,33.8,44.0,697.0,45.0,0.0
184,37.0,33.8,44.0,697.0,45.0,0.0
181,41.0,33.8,44.0,690.0,44.0,0.0
180,41.0,33.8,43.0,686.0,43.0,2.0
177,43.0,33.8,44.0,600.0,30.0,0.0
183,41.0,33.8,44.0,683.0,43.0,27.0
181,44.0,33.8,44.0,682.0,42.0,34.0
181,38.0,33.8,44.0,679.0,42.0,1.0
181,42.0,33.8,44.0,683.0,43.0,13.0
180,39.0,33.8,44.0,690.0,44.0,0.0
179,39.0,33.8,45.0,706.0,46.0,0.0
181,39.0,33.8,45.0,710.0,47.0,0.0
182,39.0,33.8,45.0,708.0,46.0,0.0
185,43.0,33.8,45.0,714.0,47.0,4.0
183,39.0,33.8,45.0,730.0,50.0,0.0
184,37.0,33.8,46.0,754.0,53.0,0.0
184,41.0,33.8,46.0,690.0,44.0,0.0
191,43.0,33.8,47.0,825.0,64.0,3.0
188,40.0,33.8,47.0,830.0,65.0,0.0
186,39.0,33.8,48.0,834.0,66.0,0.0
192,41.0,33.8,48.0,832.0,65.0,64.0
185,39.0,33.8,48.0,832.0,65.0,0.0
186,39.0,33.8,49.0,853.0,69.0,1.0
186,43.0,33.8,49.0,759.0,54.0,0.0
192,39.0,33.8,49.0,865.0,70.0,0.0
194,40.0,33.8,49.0,891.0,74.0,0.0
192,43.0,33.8,49.0,891.0,74.0,0.0
187,39.0,33.8,50.0,900.0,76.0,1.0
191,43.0,33.8,50.0,918.0,78.0,6.0
182,43.0,33.8,50.0,783.0,58.0,0.0
192,39.0,33.8,50.0,909.0,77.0,1.0
194,44.0,33.8,51.0,920.0,79.0,4.0
189,39.0,33.8,51.0,907.0,77.0,1.0
190,43.0,33.8,51.0,872.0,71.0,13.0
189,39.0,33.8,51.0,887.0,74.0,0.0
191,45.0,33.8,51.0,880.0,73.0,1.0
189,39.0,33.8,51.0,857.0,69.0,0.0
189,39.0,33.8,52.0,834.0,66.0,1.0
188,39.0,33.8,52.0,840.0,67.0,0.0
189,42.0,33.8,52.0,819.0,63.0,0.0
188,39.0,33.8,52.0,848.0,68.0,0.0
190,39.0,33.8,53.0,887.0,74.0,0.0
190,39.0,33.8,53.0,865.0,70.0,0.0
191,42.0,33.8,53.0,889.0,74.0,0.0
191,42.0,33.8,53.0,897.0,75.0,11.0
195,43.0,33.8,54.0,802.0,61.0,6.0
192,39.0,33.8,54.0,895.0,75.0,1.0
198,40.0,33.8,54.0,909.0,77.0,0.0
188,37.0,33.8,54.0,920.0,79.0,0.0
192,39.0,33.8,55.0,907.0,77.0,11.0
192,39.0,33.8,55.0,882.0,73.0,0.0
192,39.0,33.8,55.0,902.0,76.0,1.0
191,41.0,33.8,55.0,920.0,79.0,2.0
192,37.0,33.8,55.0,909.0,77.0,0.0
179,43.0,33.8,55.0,770.0,56.0,1.0
194,43.0,33.8,55.0,923.0,79.0,3.0
194,37.0,33.8,56.0,817.0,63.0,1.0
195,39.0,33.8,56.0,907.0,77.0,5.0
197,39.0,33.8,56.0,905.0,76.0,0.0
191,41.0,33.8,56.0,902.0,76.0,1.0
213,47.0,33.8,56.0,793.0,59.0,0.0
205,37.0,33.8,56.0,927.0,80.0,0.0
200,37.0,33.8,56.0,923.0,79.0,0.0
199,43.0,33.8,56.0,925.0,79.0,18.0
196,37.0,33.8,56.0,855.0,69.0,0.0
201,43.0,33.8,56.0,930.0,80.0,15.0
195,43.0,33.8,56.0,927.0,80.0,2.0
197,43.0,33.8,56.0,918.0,78.0,4.0
194,39.0,33.8,56.0,923.0,79.0,0.0
194,39.0,33.8,56.0,909.0,77.0,0.0
195,39.0,33.8,57.0,874.0,72.0,0.0
196,40.0,33.8,57.0,872.0,71.0,0.0
193,39.0,33.8,57.0,785.0,58.0,0.0
194,43.0,33.8,57.0,848.0,68.0,3.0
194,39.0,33.8,57.0,834.0,66.0,0.0
193,39.0,33.8,57.0,853.0,69.0,0.0
194,39.0,33.8,57.0,844.0,67.0,0.0
200,40.0,33.8,57.0,830.0,65.0,0.0
198,40.0,33.8,57.0,848.0,68.0,4.0
198,40.0,33.8,57.0,836.0,66.0,0.0
187,43.0,33.8,58.0,715.0,47.0,0.0
198,39.0,33.8,58.0,844.0,67.0,0.0
196,39.0,33.8,58.0,838.0,66.0,0.0
200,40.0,33.8,58.0,838.0,66.0,4.0
199,44.0,33.8,58.0,855.0,69.0,5.0
